ProcessID	OperationID	BuildID	WUnit	StationID	ClockNumber	ScanInTime	ScanOutTime	RedirectedAt	Plant	FlowLine	SCDDTE	plannedtime
FLM SEAT ASSY       	10	A099           	261090         	AB92265   	102285	2022-07-06 06:24:36.227	2022-07-06 06:46:04.927	0	010            	1-8 TON   	2022-07-06	21.3201
4-7T CHAIN ASSEMBLY 	10	U005           	253521         	AB52010   	102087	2022-07-06 06:42:35.100	2022-07-06 06:51:40.967	0	010            	1-8 TON   	2022-07-01	11.0795
2/140/4-5 MAINLINE  	110	A099           	261084         	AB45ML11  	102259	2022-07-06 06:49:15.370	2022-07-06 08:44:34.840	0	010            	1-8 TON   	2022-06-05	57.9995
2/110/4-5 HOOD SUB  	10	A099           	261090         	AB45FC17  	102217	2022-07-06 07:24:12.757	2022-07-06 07:43:01.930	0	010            	1-8 TON   	2022-07-06	29.11
4-7T MAST MAINLINE  	10	U005           	253521         	AB51010   	101736	2022-07-06 08:04:17.730	2022-07-06 08:15:39.173	0	010            	1-8 TON   	2022-07-01	21.1677
4-7T CYLINDER SUB   	10	U005           	253521         	AB52022   	101339	2022-07-06 08:22:54.727	2022-07-06 08:32:52.223	0	010            	1-8 TON   	2022-07-01	13.0841
4-7T MAST MAINLINE  	20	U005           	253521         	AB51020   	101911	2022-07-06 08:39:21.037	2022-07-06 08:51:13.610	0	010            	1-8 TON   	2022-07-01	25.1599
2/140/4-5 MAINLINE  	5	A099           	261090         	AB21010   	600535	2022-07-06 09:01:28.437	2022-07-06 09:52:51.963	0	010            	1-8 TON   	2022-07-06	10.5
2/020/4-5 STRAXLPREP	10	A099           	261090         	AB45FC05  	102254	2022-07-06 09:07:28.043	2022-07-06 09:30:47.453	0	010            	1-8 TON   	2022-07-06	17.7411
2/005/4-5 COWL MAIN 	10	A099           	261090         	AB45FC02  	102433	2022-07-06 09:09:53.873	2022-07-06 09:13:29.040	0	010            	1-8 TON   	2022-07-06	20.0801
4-7T MAST MAINLINE  	30	U005           	253521         	AB51030   	102338	2022-07-06 09:13:51.950	2022-07-06 09:16:51.630	0	010            	1-8 TON   	2022-07-01	29.4128
4-7T CARRIAGE SUB   	10	U005           	253521         	AB52030   	600452	2022-07-06 09:17:27.070	2022-07-06 09:30:54.173	0	010            	1-8 TON   	2022-07-01	17.4146
4-7T MAST MAINLINE  	40	U005           	253521         	AB51040   	102386	2022-07-06 09:38:36.450	2022-07-06 10:07:34.243	0	010            	1-8 TON   	2022-07-01	11.6638
1-3T CHAIN ASSEMBLY 	10	A968           	212862         	AB62022   	600450	2022-07-06 09:52:52.167	2022-07-06 09:54:57.417	0	010            	1-8 TON   	2022-07-01	20.5998
1-3T CYLINDER SUB   	10	A968           	212862         	AB62030   	101561	2022-07-06 09:57:27.747	2022-07-06 10:15:54.900	0	010            	1-8 TON   	2022-07-01	5.9999
